assd_mm,availability_reason,dice,fixed_phase,hd95_mm,label_available,label_name,label_value,method_id,moving_phase,pair_id,subject_id,task_domain,task_group
8.832050106584184,,0.6823498512713702,mr,20.0,True,liver,1,B00_identity,ct,MR_fixed__CT_moving__0002_tcia,0002_tcia,l2r_mrct,mr_target
6.610535384251207,,0.6056176293676977,mr,21.2602916254693,True,spleen,2,B00_identity,ct,MR_fixed__CT_moving__0002_tcia,0002_tcia,l2r_mrct,mr_target
8.39662602569391,,0.40082075057953764,mr,22.360679774997898,True,right_kidney,3,B00_identity,ct,MR_fixed__CT_moving__0002_tcia,0002_tcia,l2r_mrct,mr_target
nan,missing_in_fixed_or_moving_label,nan,mr,nan,False,left_kidney,4,B00_identity,ct,MR_fixed__CT_moving__0002_tcia,0002_tcia,l2r_mrct,mr_target
31.438783023986762,,0.3118863530644378,mr,75.49834435270749,True,liver,1,B00_identity,ct,MR_fixed__CT_moving__0004_tcia,0004_tcia,l2r_mrct,mr_target
44.06383996504015,,0.0,mr,72.99315036357864,True,spleen,2,B00_identity,ct,MR_fixed__CT_moving__0004_tcia,0004_tcia,l2r_mrct,mr_target
45.440240164181056,,0.0,mr,78.11017771289609,True,right_kidney,3,B00_identity,ct,MR_fixed__CT_moving__0004_tcia,0004_tcia,l2r_mrct,mr_target
nan,missing_in_fixed_or_moving_label,nan,mr,nan,False,left_kidney,4,B00_identity,ct,MR_fixed__CT_moving__0004_tcia,0004_tcia,l2r_mrct,mr_target
13.614170780626868,,0.55513042415406,mr,32.55764119219941,True,liver,1,B00_identity,ct,MR_fixed__CT_moving__0006_tcia,0006_tcia,l2r_mrct,mr_target
7.147566120968043,,0.5395298477939492,mr,24.413111231467404,True,spleen,2,B00_identity,ct,MR_fixed__CT_moving__0006_tcia,0006_tcia,l2r_mrct,mr_target
6.272934925889752,,0.4103697892522198,mr,16.24807680927192,True,right_kidney,3,B00_identity,ct,MR_fixed__CT_moving__0006_tcia,0006_tcia,l2r_mrct,mr_target
8.182317353504288,,0.3564791934367896,mr,26.90724809414742,True,left_kidney,4,B00_identity,ct,MR_fixed__CT_moving__0006_tcia,0006_tcia,l2r_mrct,mr_target
13.590258923821981,,0.6070387823103768,mr,29.732137494637012,True,liver,1,B00_identity,ct,MR_fixed__CT_moving__0008_tcia,0008_tcia,l2r_mrct,mr_target
8.346682630928367,,0.6152261331479919,mr,22.090722034374522,True,spleen,2,B00_identity,ct,MR_fixed__CT_moving__0008_tcia,0008_tcia,l2r_mrct,mr_target
5.897183466409204,,0.4854727737369766,mr,19.364864952745464,True,right_kidney,3,B00_identity,ct,MR_fixed__CT_moving__0008_tcia,0008_tcia,l2r_mrct,mr_target
6.770798395934614,,0.48042598169235984,mr,20.97617696340303,True,left_kidney,4,B00_identity,ct,MR_fixed__CT_moving__0008_tcia,0008_tcia,l2r_mrct,mr_target
17.68003486892593,,0.41514939224763653,mr,47.41307836451879,True,liver,1,B00_identity,ct,MR_fixed__CT_moving__0010_tcia,0010_tcia,l2r_mrct,mr_target
14.226582548508663,,0.39503590876805306,mr,38.67815921162743,True,spleen,2,B00_identity,ct,MR_fixed__CT_moving__0010_tcia,0010_tcia,l2r_mrct,mr_target
8.788704789420294,,0.46470429138117564,mr,33.52610922848042,True,right_kidney,3,B00_identity,ct,MR_fixed__CT_moving__0010_tcia,0010_tcia,l2r_mrct,mr_target
